DATE,CODE,NAME,WEBSITE LINK,  LAST 12 MONTHS Low , LAST 12 MONTHS High , DAY'S TRADING Low , DAY'S TRADING High , DAY'S TRADING VWAP Price , Previous DAY'S VWAP Price ,  Change  ,,Volume of Shares Traded, VWAP Adjusted Price for bonus issues and share splits 
01-08-18,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD, 9.00 , 15.00 , 18.60 , 18.60 , 18.60 , 18.60 ,  -  ,-,-, - 
01-08-18,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ, 328.00 , 405.00 , 320.00 , 320.00 , 320.00 , 320.00 ,  -  ,-,-, - 
01-08-18,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC, 68.50 , 94.50 , 72.00 , 72.00 , 72.00 , 72.00 ,  -  ,-,-, - 
01-08-18,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT, 300.00 , 400.00 , 500.00 , 500.00 , 500.00 , 500.00 ,  -  ,-,-, - 
01-08-18,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN, 16.00 , 20.00 , 19.50 , 20.75 , 20.25 , 19.25 , 1.00 ,5.19%,5800, - 
01-08-18,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK, 119.00 , 154.75 , 135.00 , 135.00 , 135.00 , 135.00 ,  -  ,-,-, - 
01-08-18,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN, 20.00 , 28.75 , 17.90 , 17.90 , 17.90 , 17.90 ,  -  ,-,-, - 
01-08-18,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA, 8.50 , 10.80 , 11.60 , 11.75 , 11.60 , 11.55 , 0.05 ,0.43%,103000, - 
01-08-18,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP, 10.20 , 14.05 , 16.95 , 17.10 , 16.95 , 16.95 ,  -  ,-,214100, - 
01-08-18,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK, 57.50 , 78.50 , 197.00 , 197.00 , 197.00 , 200.00 , (3.00),1.50%,500, - 
