DATE,CODE,NAME,WEBSITE LINK, LAST 12 MONTHS Low,LAST 12 MONTHS High,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
04-01-21,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD, 8.20 , 14.50 , 12.50 , 12.50 , 12.50 , 12.50 , - ,-,3200,
04-01-21,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ, 300.00 , 397.00 , 365.00 , 365.00 , 365.00 , 365.00 , - ,-,-,
04-01-21,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC, 64.00 , 90.00 , 78.00 , 78.00 , 78.00 , 78.00 , - ,-,-,
04-01-21,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT, 360.00 , 475.00 , 360.00 , 360.00 , 360.00 , 360.00 , - ,-,100,
04-01-21,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN, 14.80 , 20.00 , 19.50 , 19.50 , 19.50 , 19.50 , - ,-,-,
04-01-21,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK, 100.00 , 150.00 , 127.50 , 130.00 , 129.75 , 130.25 , (0.50),0.38%,3200,
04-01-21,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN, 20.00 , 26.00 , 22.00 , 22.00 , 22.00 , 22.00 , - ,-,-,
04-01-21,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA, 8.50 , 11.90 , 9.42 , 9.80 , 9.52 , 9.66 , (0.14),1.45%,18500,
04-01-21,BKG,BK Group Plc,https://live.mystocks.co.ke/stock=BKG, 12.15 , 22.50 , 20.50 , 20.50 , 20.50 , 20.50 , - ,-,-,
04-01-21,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP, 10.20 , 14.05 , 12.20 , 13.70 , 12.55 , 12.50 , 0.05 ,0.40%,248100,
04-01-21,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK, 58.50 , 90.00 , 75.00 , 78.50 , 76.75 , 75.00 , 1.75 ,2.33%,200,
04-01-21,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY, 28.00 , 43.00 , 35.55 , 36.50 , 36.25 , 36.55 , (0.30),0.82%,1955500,
04-01-21,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK, 2.86 , 5.48 , 3.00 , 3.45 , 3.14 , 3.32 , (0.18),5.42%,15400,
04-01-21,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH, 42.00 , 55.00 , 43.90 , 45.00 , 44.85 , 45.00 , (0.15),0.33%,38600,
04-01-21,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB, 30.00 , 42.50 , 38.20 , 38.50 , 38.40 , 38.10 , 0.30 ,0.79%,58500,
04-01-21,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK, 4.12 , 4.12 , 4.12 , 4.12 , 4.12 , 4.12 , - ,-,-,
04-01-21,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA, 20.00 , 31.82 , 26.50 , 27.00 , 26.60 , 26.75 , (0.15),0.56%,7700,
04-01-21,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC, 72.25 , 104.00 , 85.00 , 85.00 , 85.00 , 85.00 , - ,-,-,
04-01-21,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK, 132.00 , 201.00 , 144.00 , 148.75 , 144.50 , 144.25 , 0.25 ,0.17%,14800,
04-01-21,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON, 0.45 , 0.45 , 0.45 , 0.45 , 0.45 , 0.45 , - ,-,-,
04-01-21,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD, 0.75 , 1.50 , 1.25 , 1.28 , 1.27 , 1.20 , 0.07 ,5.83%,700,
04-01-21,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS, 2.50 , 6.00 , 3.38 , 3.70 , 3.61 , 3.61 , - ,-,1100,
04-01-21,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ, 0.80 , 3.96 , 3.83 , 3.83 , 3.83 , 3.83 , - ,-,-,
04-01-21,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL, 4.05 , 5.30 , 4.75 , 4.88 , 4.87 , 4.88 , (0.01),0.20%,1800,
04-01-21,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV, 0.49 , 6.00 , 3.90 , 4.70 , 4.65 , 4.28 , 0.37 ,8.64%,22000,
04-01-21,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG, 9.00 , 27.00 , 15.00 , 15.50 , 15.30 , 15.45 , (0.15),0.97%,53700,
04-01-21,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER, 1.91 , 4.62 , 3.25 , 3.25 , 3.25 , 3.25 , - ,-,-,
04-01-21,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL, 18.00 , 26.50 , 22.50 , 22.50 , 22.50 , 22.50 , - ,-,-,
04-01-21,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE, 11.70 , 18.00 , 16.00 , 16.00 , 16.00 , 16.00 , - ,-,-,
04-01-21,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM, 0.22 , 0.40 , 0.28 , 0.30 , 0.28 , 0.28 , - ,-,247700,
04-01-21,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN, 5.04 , 25.00 , 5.80 , 6.10 , 6.00 , 6.00 , - ,-,139400,
04-01-21,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM, 5.55 , 5.55 , 5.55 , 5.55 , 5.55 , 5.55 , - ,-,-,
04-01-21,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB, 19.05 , 53.00 , 39.95 , 39.95 , 39.95 , 37.85 , 2.10 ,5.55%,18100,
04-01-21,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN, 36.00 , 58.00 , 38.00 , 38.00 , 38.00 , 38.00 , - ,-,-,
04-01-21,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL, 1.26 , 2.43 , 1.40 , 1.45 , 1.40 , 1.38 , 0.02 ,1.45%,18800,
04-01-21,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT, 7.80 , 16.00 , 11.00 , 11.00 , 11.00 , 11.00 , - ,-,-,
04-01-21,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN, 4.40 , 6.28 , 4.60 , 4.78 , 4.67 , 4.71 , (0.04),0.85%,33100,
04-01-21,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4, 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , - ,-,-,
04-01-21,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7, 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , - ,-,-,
04-01-21,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC, 1.16 , 2.50 , 1.68 , 1.73 , 1.71 , 1.71 , - ,-,1064600,
04-01-21,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL, 21.00 , 27.50 , 24.00 , 24.00 , 24.00 , 24.00 , - ,-,5000,
04-01-21,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME, 6.18 , 8.60 , 7.28 , 7.30 , 7.30 , 7.28 , 0.02 ,0.27%,1800,
04-01-21,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT, 6.00 , 10.65 , 7.00 , 7.26 , 7.00 , 7.26 , (0.26),3.58%,510400,
04-01-21,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC, 1.95 , 2.65 , 2.10 , 2.15 , 2.11 , 2.13 , (0.02),0.94%,40100,
