CODE	SECURITIES NAME	SECURITY TYPE GENERAL	NAME	SECTOR	ISIN CODE - Intentional Security Identification Number	WEBSITE LINK
EGAD	Eaagads Ltd Ord 1.25 (AIMS)	Shares	Eaagads Ltd	Agricultural	KE0000000208	https://live.mystocks.co.ke/stock=EGAD
KUKZ	Kakuzi Plc Ord.5.00	Shares	Kakuzi Plc	Agricultural	KE0000000281	https://live.mystocks.co.ke/stock=KUKZ
KAPC	Kapchorua Tea Co. Ltd Ord Ord 5.00(AIMS)	Shares	Kapchorua Tea Kenya Plc	Agricultural	KE4000001760	https://live.mystocks.co.ke/stock=KAPC
LIMT	The Limuru Tea Co. Ltd Ord 20.00(AIMS)	Shares	Limuru Tea Plc	Agricultural	KE0000000356	https://live.mystocks.co.ke/stock=LIMT
SASN	Sasini Ltd Ord 1.00	Shares	Sasini Plc	Agricultural	KE0000000430	https://live.mystocks.co.ke/stock=SASN
WTK	Williamson Tea Kenya Ltd Ord 5.00(AIMS)	Shares	Williamson Tea Kenya Plc	Agricultural	KE0000000505	https://live.mystocks.co.ke/stock=WTK
CGEN	Car & General (K) Ltd Ord 5.00	Shares	Car and General (K) Ltd	Automobiles and Accessories	KE0000000109	https://live.mystocks.co.ke/stock=CGEN
ABSA	ABSA Bank Kenya Plc Ord 0.50	Shares	ABSA Bank Kenya Plc	Banking	KE0000000067	https://live.mystocks.co.ke/stock=ABSA
BKG	BK Group Plc Ord 0.80	Shares	BK Group Plc	Banking	KE5000008986	https://live.mystocks.co.ke/stock=BKG
COOP	The Co-operative Bank of Kenya Ltd Ord 1.00	Shares	Co-operative Bank of Kenya Ltd	Banking	KE1000001568	https://live.mystocks.co.ke/stock=COOP
DTK	Diamond Trust Bank Kenya Ltd Ord 4.00	Shares	Diamond Trust Bank Kenya Ltd	Banking	KE0000000158	https://live.mystocks.co.ke/stock=DTK
EQTY	Equity Group Holdings Plc Ord 0.50	Shares	Equity Group Holdings Plc	Banking	KE0000000554	https://live.mystocks.co.ke/stock=EQTY
HFCK	HF Group Plc Ord 5.00	Shares	HF Group Ltd	Banking	KE0000000240	https://live.mystocks.co.ke/stock=HFCK
IMH	I&M Holdings Ltd Ord 1.00	Shares	I & M Holdings Plc	Banking	KE0000000125	https://live.mystocks.co.ke/stock=IMH
KCB	KCB Group Ltd Ord 1.00	Shares	KCB Group Plc	Banking	KE0000000315	https://live.mystocks.co.ke/stock=KCB
NBK	National Bank of Kenya Ltd Ord 5.00	Shares	National Bank of Kenya Ltd	Banking	KE0000000398	https://live.mystocks.co.ke/stock=NBK
NCBA	NCBA Group Plc Ord 5.00	Shares	NCBA Group Plc	Banking	KE0000000406	https://live.mystocks.co.ke/stock=NCBA
SBIC	Stanbic Holdings Plc ord.5.00	Shares	Stanbic Holdings Plc	Banking	KE0000000091	https://live.mystocks.co.ke/stock=SBIC
SCBK	Standard Chartered Bank Kenya Ltd Ord 5.00	Shares	Standard Chartered Bank Kenya Ltd	Banking	KE0000000448	https://live.mystocks.co.ke/stock=SCBK
	Atlas African Industries Ltd(GEMS)	Shares	Atlas African Industries Ltd	Commercial and Services	KE4000004095	
DCON	Deacons (East Africa) Plc Ord 2.50(AIMS)	Shares	Deacons (East Africa) Plc	Commercial and Services	KE5000005438	https://live.mystocks.co.ke/stock=DCON
EVRD	Eveready East Africa Ltd Ord.1.00	Shares	Eveready East Africa Ltd	Commercial and Services	KE0000000588	https://live.mystocks.co.ke/stock=EVRD
XPRS	Express Kenya Ltd Ord 5.00(AIMS)	Shares	Express Kenya Plc	Commercial and Services	KE0000000224	https://live.mystocks.co.ke/stock=XPRS
HBE	Homeboyz Entertainment Plc 0.50(GEMS)	Shares	Homeboyz Entertainment Plc	Commercial and Services	KE7000001433	https://live.mystocks.co.ke/stock=HBE
KQ	Kenya Airways Ltd Ord 5.00	Shares	Kenya Airways Plc	Commercial and Services	KE0000000307	https://live.mystocks.co.ke/stock=KQ
LKL	Longhorn Publishers Ltd Ord 1.00(AIMS)	Shares	Longhorn Publishers Plc	Commercial and Services	KE2000002275	https://live.mystocks.co.ke/stock=LKL
NBV	Nairobi Business Ventures Ltd Ord. 1.00(GEMS)	Shares	Nairobi Business Ventures Ltd	Commercial and Services	KE5000000090	https://live.mystocks.co.ke/stock=NBV
NMG	Nation Media Group Ltd Ord. 2.50	Shares	Nation Media Group Plc	Commercial and Services	KE0000000380	https://live.mystocks.co.ke/stock=NMG
SMER	Sameer Africa Ltd Ord 5.00	Shares	Sameer Africa Plc	Commercial and Services	KE0000000232	https://live.mystocks.co.ke/stock=SMER
SGL	Standard Group Ltd Ord 5.00	Shares	Standard Group Plc	Commercial and Services	KE0000000455	https://live.mystocks.co.ke/stock=SGL
TPSE	TPS Eastern Africa Ltd Ord 1.00	Shares	TPS Eastern Africa (Serena) Ltd	Commercial and Services	KE0000000539	https://live.mystocks.co.ke/stock=TPSE
UCHM	Uchumi Supermarket Plc Ord 5.00	Shares	Uchumi Supermarket Plc	Commercial and Services	KE0000000489	https://live.mystocks.co.ke/stock=UCHM
SCAN	WPP Scangroup Ltd Ord 1.00	Shares	WPP ScanGroup Plc	Commercial and Services	KE0000000562	https://live.mystocks.co.ke/stock=SCAN
ARM	ARM Cement Plc Ord 1.00	Shares	ARM Cement Plc	Construction and Allied	KE0000000034	https://live.mystocks.co.ke/stock=ARM
BAMB	Bamburi Cement Ltd Ord 5.00	Shares	Bamburi Cement Ltd	Construction and Allied	KE0000000059	https://live.mystocks.co.ke/stock=BAMB
CRWN	Crown Paints Kenya Plc Ord 5.00	Shares	Crown Paints Kenya Plc	Construction and Allied	KE0000000141	https://live.mystocks.co.ke/stock=CRWN
CABL	E.A.Cables Ltd Ord 0.50	Shares	East African Cables Ltd	Construction and Allied	KE0000000174	https://live.mystocks.co.ke/stock=CABL
PORT	E.A.Portland Cement Co. Ltd Ord	Shares	East African Portland Cement Ltd	Construction and Allied	KE0000000190	https://live.mystocks.co.ke/stock=PORT
KEGN	KenGen Co. Ltd Ord. 2.50	Shares	Kenya Electricity Generating Company Plc	Energy and Petroleum	KE0000000547	https://live.mystocks.co.ke/stock=KEGN
KENO	KenolKobil Ltd Ord 0.05	Shares	KenolKobil Ltd	Energy and Petroleum	KE0000000323	https://live.mystocks.co.ke/stock=KENO
KPLC	Kenya Power & Lighting Co Ltd Ord 2.50	Shares	Kenya Power and Lighting Company Plc	Energy and Petroleum	KE0000000349	https://live.mystocks.co.ke/stock=KPLC
KPLC-P4	Kenya Power & Lighting Ltd 4% Pref 20.00	Shares	KPLC-P4	Energy and Petroleum	KE4000001877	https://live.mystocks.co.ke/stock=KPLC-P4
KPLC-P7	Kenya Power & Lighting Ltd 7% Pref 20.00	Shares	KPLC-P7	Energy and Petroleum	KE4000002982	https://live.mystocks.co.ke/stock=KPLC-P7
TOTL	Total Kenya Ltd Ord 5.00	Shares	Total Kenya Ltd	Energy and Petroleum	KE0000000463	https://live.mystocks.co.ke/stock=TOTL
UMME	Umeme Ltd Ord 0.50	Shares	Umeme Ltd	Energy and Petroleum	KE2000005815	https://live.mystocks.co.ke/stock=UMME
BRIT	Britam Holdings Plc Ord 0.10	Shares	Britam Holdings Plc	Insurance	KE2000002192	https://live.mystocks.co.ke/stock=BRIT
CIC	CIC Insurance Group Ltd Ord.1.00	Shares	CIC Insurance Group Ltd	Insurance	KE2000002317	https://live.mystocks.co.ke/stock=CIC
JUB	Jubilee Holdings Ltd Ord 5.00	Shares	Jubilee Holdings Ltd	Insurance	KE0000000273	https://live.mystocks.co.ke/stock=JUB
KNRE	Kenya Re Insurance Corporation Ltd Ord 2.50	Shares	Kenya Re-Insurance Corporation Ltd	Insurance	KE0000000604	https://live.mystocks.co.ke/stock=KNRE
LBTY	Liberty Kenya Holdings Ltd Ord. 1.00	Shares	Liberty Kenya Holdings Ltd	Insurance	KE2000002168	https://live.mystocks.co.ke/stock=LBTY
SLAM	Sanlam Kenya Plc Ord 5.00	Shares	Sanlam Kenya Plc	Insurance	KE0000000414	https://live.mystocks.co.ke/stock=SLAM
CTUM	Centum Investment Co Plc Ord 0.50	Shares	Centum Investment Company Plc	Investment	KE0000000265	https://live.mystocks.co.ke/stock=CTUM
HAFR	Home Afrika Ltd Ord 1.00(GEMS)	Shares	Home Afrika Ltd	Investment	KE2000007258	https://live.mystocks.co.ke/stock=HAFR
