DATE,CODE,NAME,WEBSITE LINK,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
04-01-21,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD,12.5,12.5,12.5,12.5,0,0.00%,3200,
04-01-21,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ,365,365,365,365,0,0.00%,-,
04-01-21,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC,78,78,78,78,0,0.00%,-,
04-01-21,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT,360,360,360,360,0,0.00%,100,
04-01-21,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN,19.5,19.5,19.5,19.5,0,0.00%,-,
04-01-21,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK,127.5,130,129.75,130.25,-0.5,-0.38%,3200,
04-01-21,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN,22,22,22,22,0,0.00%,-,
04-01-21,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA,9.42,9.8,9.52,9.66,-0.14,-1.45%,18500,
04-01-21,BKG,BK Group Plc,https://live.mystocks.co.ke/stock=BKG,20.5,20.5,20.5,20.5,0,0.00%,-,
04-01-21,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP,12.2,13.7,12.55,12.5,0.05,0.40%,248100,
04-01-21,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK,75,78.5,76.75,75,1.75,2.33%,200,
04-01-21,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY,35.55,36.5,36.25,36.55,-0.3,-0.82%,1955500,
04-01-21,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK,3,3.45,3.14,3.32,-0.18,-5.42%,15400,
04-01-21,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH,43.9,45,44.85,45,-0.15,-0.33%,38600,
04-01-21,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB,38.2,38.5,38.4,38.1,0.3,0.79%,58500,
